"rollno","name","age","grade","department"
"R15088","Student15088",20,"F","Mech"
"R15089","Student15089",23,"A","IT"
"R15090","Student15090",27,"C","CS"
"R15091","Student15091",22,"B","CS"
"R15092","Student15092",30,"A","ECE"
"R15093","Student15093",29,"F","Mech"
"R15094","Student15094",22,"D","Civil"
"R15095","Student15095",26,"B","ECE"
"R15096","Student15096",21,"A","ECE"
"R15097","Student15097",24,"F","IT"
"R15098","Student15098",18,"C","ECE"
"R15099","Student15099",20,"C","ECE"
"R15100","Student15100",21,"B","IT"
"R15101","Student15101",28,"C","Civil"
"R15102","Student15102",24,"C","ECE"
"R15103","Student15103",20,"A","ECE"
"R15104","Student15104",23,"F","Mech"
"R15105","Student15105",24,"B","Mech"
"R15106","Student15106",22,"D","Mech"
"R15107","Student15107",29,"F","Civil"
"R15108","Student15108",25,"F","ECE"
"R15109","Student15109",23,"F","ECE"
"R15110","Student15110",24,"C","CS"
"R15111","Student15111",25,"C","ECE"
"R15112","Student15112",26,"D","Mech"
"R15113","Student15113",23,"D","CS"
"R15114","Student15114",30,"B","Mech"
"R15115","Student15115",23,"B","CS"
"R15116","Student15116",24,"B","Mech"
"R15117","Student15117",22,"B","ECE"
"R15118","Student15118",18,"A","CS"
"R15119","Student15119",22,"D","ECE"
"R15120","Student15120",26,"D","Mech"
"R15121","Student15121",27,"B","CS"
"R15122","Student15122",20,"D","Mech"
"R15123","Student15123",30,"D","CS"
"R15124","Student15124",19,"B","IT"
"R15125","Student15125",30,"B","Civil"
"R15126","Student15126",27,"B","IT"
"R15127","Student15127",30,"C","ECE"
"R15128","Student15128",22,"A","Civil"
"R15129","Student15129",23,"C","IT"
"R15130","Student15130",25,"F","IT"
"R15131","Student15131",23,"F","Mech"
"R15132","Student15132",25,"F","CS"
"R15133","Student15133",23,"F","CS"
"R15134","Student15134",29,"C","IT"
"R15135","Student15135",18,"D","Civil"
"R15136","Student15136",30,"B","CS"
"R15137","Student15137",22,"D","IT"
"R15138","Student15138",24,"A","CS"
"R15139","Student15139",23,"D","CS"
"R15140","Student15140",28,"B","CS"
"R15141","Student15141",20,"D","CS"
"R15142","Student15142",27,"B","ECE"
"R15143","Student15143",23,"F","IT"
"R15144","Student15144",23,"F","IT"
"R15145","Student15145",30,"C","Civil"
"R15146","Student15146",29,"B","CS"
"R15147","Student15147",21,"F","IT"
"R15148","Student15148",19,"C","CS"
"R15149","Student15149",25,"A","ECE"
"R15150","Student15150",24,"B","Mech"
"R15151","Student15151",30,"C","IT"
"R15152","Student15152",21,"A","Mech"
"R15153","Student15153",29,"C","CS"
"R15154","Student15154",18,"A","ECE"
"R15155","Student15155",28,"F","Mech"
"R15156","Student15156",22,"D","ECE"
"R15157","Student15157",25,"B","ECE"
"R15158","Student15158",19,"B","Civil"
"R15159","Student15159",19,"D","ECE"
"R15160","Student15160",20,"C","CS"
"R15161","Student15161",22,"A","CS"
"R15162","Student15162",28,"C","CS"
"R15163","Student15163",25,"F","CS"
"R15164","Student15164",27,"B","IT"
"R15165","Student15165",20,"C","Mech"
"R15166","Student15166",24,"C","CS"
"R15167","Student15167",22,"D","IT"
"R15168","Student15168",23,"D","Mech"
"R15169","Student15169",27,"A","IT"
"R15170","Student15170",25,"F","CS"
"R15171","Student15171",18,"D","CS"
"R15172","Student15172",26,"D","CS"
"R15173","Student15173",29,"C","ECE"
"R15174","Student15174",25,"F","Civil"
"R15175","Student15175",20,"F","IT"
"R15176","Student15176",20,"B","IT"
"R15177","Student15177",28,"C","Civil"
"R15178","Student15178",26,"A","CS"
"R15179","Student15179",27,"A","CS"
"R15180","Student15180",18,"B","Civil"
"R15181","Student15181",27,"D","Civil"
"R15182","Student15182",21,"C","Civil"
"R15183","Student15183",18,"A","CS"
"R15184","Student15184",29,"A","IT"
"R15185","Student15185",18,"B","CS"
"R15186","Student15186",18,"B","CS"
"R15187","Student15187",21,"C","IT"
"R15188","Student15188",18,"B","ECE"
"R15189","Student15189",18,"A","ECE"
"R15190","Student15190",24,"A","IT"
"R15191","Student15191",26,"D","Civil"
"R15192","Student15192",30,"C","ECE"
"R15193","Student15193",23,"D","Mech"
"R15194","Student15194",27,"A","ECE"
"R15195","Student15195",22,"B","CS"
"R15196","Student15196",28,"B","Civil"
"R15197","Student15197",21,"B","Civil"
"R15198","Student15198",25,"D","IT"
"R15199","Student15199",28,"B","ECE"
"R15200","Student15200",20,"A","Civil"
"R15201","Student15201",19,"F","IT"
"R15202","Student15202",24,"C","ECE"
"R15203","Student15203",30,"C","CS"
"R15204","Student15204",20,"B","IT"
"R15205","Student15205",30,"C","ECE"
"R15206","Student15206",20,"B","Civil"
"R15207","Student15207",29,"B","ECE"
"R15208","Student15208",28,"C","Mech"
"R15209","Student15209",19,"C","CS"
"R15210","Student15210",30,"C","Mech"
"R15211","Student15211",25,"B","Civil"
"R15212","Student15212",30,"A","ECE"
"R15213","Student15213",22,"F","Mech"
"R15214","Student15214",26,"D","Civil"
"R15215","Student15215",30,"F","IT"
"R15216","Student15216",23,"B","CS"
"R15217","Student15217",27,"C","Mech"
"R15218","Student15218",23,"A","Civil"
"R15219","Student15219",20,"A","CS"
"R15220","Student15220",30,"D","Civil"
"R15221","Student15221",25,"A","IT"
"R15222","Student15222",23,"B","CS"
"R15223","Student15223",20,"D","Mech"
"R15224","Student15224",25,"F","IT"
"R15225","Student15225",23,"D","Mech"
"R15226","Student15226",20,"F","Mech"
"R15227","Student15227",20,"B","Mech"
"R15228","Student15228",24,"F","ECE"
"R15229","Student15229",22,"B","ECE"
"R15230","Student15230",24,"B","CS"
"R15231","Student15231",24,"F","Mech"
"R15232","Student15232",30,"C","ECE"
"R15233","Student15233",26,"A","CS"
"R15234","Student15234",25,"A","IT"
"R15235","Student15235",25,"A","Mech"
"R15236","Student15236",29,"F","IT"
"R15237","Student15237",30,"D","CS"
"R15238","Student15238",22,"D","IT"
"R15239","Student15239",20,"D","Civil"
"R15240","Student15240",24,"F","ECE"
"R15241","Student15241",20,"B","Mech"
"R15242","Student15242",29,"D","Civil"
"R15243","Student15243",27,"D","CS"
"R15244","Student15244",30,"B","CS"
"R15245","Student15245",18,"A","Civil"
"R15246","Student15246",26,"F","Mech"
"R15247","Student15247",27,"A","CS"
"R15248","Student15248",24,"A","Civil"
"R15249","Student15249",25,"A","Mech"
"R15250","Student15250",18,"D","ECE"
"R15251","Student15251",28,"D","IT"
"R15252","Student15252",23,"D","ECE"
"R15253","Student15253",22,"F","CS"
"R15254","Student15254",27,"C","Civil"
"R15255","Student15255",26,"F","CS"
"R15256","Student15256",21,"A","Mech"
"R15257","Student15257",20,"A","Civil"
"R15258","Student15258",21,"D","Mech"
"R15259","Student15259",25,"B","Civil"
"R15260","Student15260",26,"C","Mech"
"R15261","Student15261",25,"F","IT"
"R15262","Student15262",29,"C","CS"
"R15263","Student15263",25,"A","Civil"
"R15264","Student15264",27,"F","CS"
"R15265","Student15265",27,"C","Civil"
"R15266","Student15266",30,"C","ECE"
"R15267","Student15267",30,"B","Civil"
"R15268","Student15268",25,"D","Civil"
"R15269","Student15269",24,"F","CS"
"R15270","Student15270",24,"C","Mech"
"R15271","Student15271",19,"F","ECE"
"R15272","Student15272",26,"C","Civil"
"R15273","Student15273",28,"A","ECE"
"R15274","Student15274",28,"A","CS"
"R15275","Student15275",18,"D","Mech"
"R15276","Student15276",27,"B","Mech"
"R15277","Student15277",28,"B","ECE"
"R15278","Student15278",22,"B","IT"
"R15279","Student15279",22,"B","IT"
"R15280","Student15280",26,"C","CS"
"R15281","Student15281",23,"C","Mech"
"R15282","Student15282",29,"C","ECE"
"R15283","Student15283",25,"B","Mech"
"R15284","Student15284",22,"D","IT"
"R15285","Student15285",26,"C","IT"
"R15286","Student15286",30,"B","IT"
"R15287","Student15287",28,"D","Mech"
"R15288","Student15288",28,"A","Mech"
"R15289","Student15289",21,"A","Civil"
"R15290","Student15290",21,"D","Mech"
"R15291","Student15291",28,"A","Civil"
"R15292","Student15292",21,"C","Mech"
"R15293","Student15293",23,"B","Mech"
"R15294","Student15294",19,"F","Mech"
"R15295","Student15295",24,"F","CS"
"R15296","Student15296",25,"B","ECE"
"R15297","Student15297",22,"A","CS"
"R15298","Student15298",29,"A","IT"
"R15299","Student15299",26,"A","Civil"
"R15300","Student15300",27,"D","CS"
"R15301","Student15301",26,"B","CS"
"R15302","Student15302",20,"B","CS"
"R15303","Student15303",23,"A","CS"
"R15304","Student15304",18,"D","CS"
"R15305","Student15305",27,"D","Civil"
"R15306","Student15306",19,"B","Mech"
"R15307","Student15307",27,"A","IT"
"R15308","Student15308",25,"A","Civil"
"R15309","Student15309",29,"A","CS"
"R15310","Student15310",30,"D","Civil"
"R15311","Student15311",29,"A","ECE"
"R15312","Student15312",30,"B","Civil"
"R15313","Student15313",30,"C","Civil"
"R15314","Student15314",19,"D","ECE"
"R15315","Student15315",23,"C","IT"
"R15316","Student15316",21,"C","Civil"
"R15317","Student15317",25,"D","ECE"
"R15318","Student15318",25,"B","Mech"
"R15319","Student15319",27,"D","Civil"
"R15320","Student15320",21,"B","CS"
"R15321","Student15321",18,"D","IT"
"R15322","Student15322",22,"C","CS"
"R15323","Student15323",28,"D","CS"
"R15324","Student15324",29,"A","CS"
"R15325","Student15325",20,"D","CS"
"R15326","Student15326",25,"A","IT"
"R15327","Student15327",18,"F","CS"
"R15328","Student15328",20,"F","Civil"
"R15329","Student15329",20,"D","ECE"
"R15330","Student15330",19,"F","IT"
"R15331","Student15331",26,"F","Civil"
"R15332","Student15332",30,"B","ECE"
"R15333","Student15333",27,"D","Civil"
"R15334","Student15334",28,"F","ECE"
"R15335","Student15335",23,"F","Civil"
"R15336","Student15336",27,"F","CS"
"R15337","Student15337",28,"A","Mech"
"R15338","Student15338",23,"C","Civil"
"R15339","Student15339",23,"C","Mech"
"R15340","Student15340",25,"C","IT"
"R15341","Student15341",21,"B","Mech"
"R15342","Student15342",27,"B","Civil"
"R15343","Student15343",27,"D","ECE"
"R15344","Student15344",29,"D","CS"
"R15345","Student15345",24,"D","Civil"
"R15346","Student15346",18,"A","Mech"
"R15347","Student15347",26,"C","Civil"
"R15348","Student15348",27,"A","ECE"
"R15349","Student15349",21,"C","Mech"
"R15350","Student15350",19,"A","ECE"
"R15351","Student15351",20,"F","Civil"
"R15352","Student15352",28,"C","CS"
"R15353","Student15353",26,"C","Mech"
"R15354","Student15354",20,"B","Civil"
"R15355","Student15355",24,"D","ECE"
"R15356","Student15356",23,"C","ECE"
"R15357","Student15357",24,"F","ECE"
"R15358","Student15358",18,"B","CS"
"R15359","Student15359",25,"D","Civil"
"R15360","Student15360",25,"C","ECE"
"R15361","Student15361",27,"A","IT"
"R15362","Student15362",21,"B","Civil"
"R15363","Student15363",29,"D","Civil"
"R15364","Student15364",27,"C","ECE"
"R15365","Student15365",18,"B","Civil"
"R15366","Student15366",23,"A","CS"
"R15367","Student15367",30,"D","Mech"
"R15368","Student15368",26,"A","Mech"
"R15369","Student15369",29,"D","Civil"
"R15370","Student15370",19,"F","CS"
"R15371","Student15371",21,"F","CS"
"R15372","Student15372",29,"A","IT"
"R15373","Student15373",26,"F","Mech"
"R15374","Student15374",23,"A","Mech"
"R15375","Student15375",28,"C","Mech"
"R15376","Student15376",22,"F","ECE"
"R15377","Student15377",18,"B","ECE"
"R15378","Student15378",27,"D","Mech"
"R15379","Student15379",19,"A","CS"
"R15380","Student15380",19,"C","Mech"
"R15381","Student15381",28,"B","ECE"
"R15382","Student15382",29,"C","Civil"
"R15383","Student15383",25,"A","IT"
"R15384","Student15384",30,"C","Mech"
"R15385","Student15385",19,"F","Civil"
"R15386","Student15386",25,"C","ECE"
"R15387","Student15387",20,"C","Civil"
"R15388","Student15388",24,"F","Civil"
"R15389","Student15389",22,"F","CS"
"R15390","Student15390",23,"C","Civil"
"R15391","Student15391",24,"D","Mech"
"R15392","Student15392",20,"A","Civil"
"R15393","Student15393",19,"A","CS"
"R15394","Student15394",21,"C","Civil"
"R15395","Student15395",22,"D","Mech"
"R15396","Student15396",26,"B","Civil"
"R15397","Student15397",21,"A","Mech"
"R15398","Student15398",22,"C","Civil"
"R15399","Student15399",25,"F","Civil"
"R15400","Student15400",20,"A","Mech"
"R15401","Student15401",19,"F","Civil"
"R15402","Student15402",29,"C","CS"
"R15403","Student15403",26,"F","IT"
"R15404","Student15404",29,"D","Civil"
"R15405","Student15405",25,"B","Civil"
"R15406","Student15406",21,"B","ECE"
"R15407","Student15407",23,"F","Mech"
"R15408","Student15408",27,"C","IT"
"R15409","Student15409",18,"C","ECE"
"R15410","Student15410",28,"A","Civil"
"R15411","Student15411",25,"B","ECE"
"R15412","Student15412",29,"D","ECE"
"R15413","Student15413",26,"F","CS"
"R15414","Student15414",28,"A","IT"
"R15415","Student15415",23,"B","IT"
"R15416","Student15416",25,"B","Mech"
"R15417","Student15417",30,"D","Mech"
"R15418","Student15418",22,"A","Mech"
"R15419","Student15419",20,"D","ECE"
"R15420","Student15420",22,"D","IT"
"R15421","Student15421",18,"F","Mech"
"R15422","Student15422",24,"D","Mech"
"R15423","Student15423",20,"F","Mech"
"R15424","Student15424",20,"C","Mech"
"R15425","Student15425",21,"C","CS"
"R15426","Student15426",30,"B","Mech"
"R15427","Student15427",25,"D","CS"
"R15428","Student15428",26,"B","ECE"
"R15429","Student15429",20,"D","Mech"
"R15430","Student15430",22,"D","Mech"
"R15431","Student15431",26,"F","CS"
"R15432","Student15432",21,"F","Civil"
"R15433","Student15433",24,"A","IT"
"R15434","Student15434",28,"C","Civil"
"R15435","Student15435",22,"C","IT"
"R15436","Student15436",28,"B","Civil"
"R15437","Student15437",25,"C","Civil"
"R15438","Student15438",23,"C","CS"
"R15439","Student15439",22,"D","IT"
"R15440","Student15440",19,"D","ECE"
"R15441","Student15441",27,"F","IT"
"R15442","Student15442",24,"D","CS"
"R15443","Student15443",20,"C","IT"
"R15444","Student15444",30,"A","Mech"
"R15445","Student15445",25,"C","Mech"
"R15446","Student15446",28,"D","IT"
"R15447","Student15447",30,"F","CS"
"R15448","Student15448",27,"F","Civil"
"R15449","Student15449",20,"F","IT"
"R15450","Student15450",27,"A","ECE"
"R15451","Student15451",23,"D","ECE"
"R15452","Student15452",18,"D","ECE"
"R15453","Student15453",21,"A","ECE"
"R15454","Student15454",20,"D","Mech"
"R15455","Student15455",28,"F","Civil"
"R15456","Student15456",23,"B","Civil"
"R15457","Student15457",25,"F","CS"
"R15458","Student15458",22,"D","ECE"
"R15459","Student15459",20,"D","Mech"
"R15460","Student15460",18,"A","CS"
"R15461","Student15461",22,"A","IT"
"R15462","Student15462",21,"C","Civil"
"R15463","Student15463",27,"A","IT"
"R15464","Student15464",21,"A","IT"
"R15465","Student15465",27,"C","CS"
"R15466","Student15466",21,"D","Mech"
"R15467","Student15467",19,"D","Civil"
"R15468","Student15468",28,"D","Mech"
"R15469","Student15469",27,"F","ECE"
"R15470","Student15470",21,"C","Civil"
"R15471","Student15471",20,"A","ECE"
"R15472","Student15472",26,"F","IT"
"R15473","Student15473",28,"F","CS"
"R15474","Student15474",23,"C","IT"
"R15475","Student15475",27,"D","ECE"
"R15476","Student15476",29,"B","Mech"
"R15477","Student15477",25,"F","Civil"
"R15478","Student15478",26,"A","CS"
"R15479","Student15479",30,"A","ECE"
"R15480","Student15480",29,"D","Mech"
"R15481","Student15481",18,"B","Civil"
"R15482","Student15482",22,"C","IT"
"R15483","Student15483",19,"F","CS"
"R15484","Student15484",26,"D","IT"
"R15485","Student15485",30,"A","Mech"
"R15486","Student15486",29,"F","IT"
"R15487","Student15487",20,"C","IT"
"R15488","Student15488",21,"C","Civil"
"R15489","Student15489",27,"B","IT"
"R15490","Student15490",28,"F","Mech"
"R15491","Student15491",20,"C","ECE"
"R15492","Student15492",25,"D","Civil"
"R15493","Student15493",22,"F","Civil"
"R15494","Student15494",22,"C","IT"
"R15495","Student15495",24,"C","Civil"
"R15496","Student15496",30,"C","IT"
"R15497","Student15497",27,"A","Civil"
"R15498","Student15498",28,"A","ECE"
"R15499","Student15499",18,"A","CS"
"R15500","Student15500",28,"A","ECE"
"R15501","Student15501",30,"D","IT"
"R15502","Student15502",26,"F","Mech"
"R15503","Student15503",23,"F","IT"
"R15504","Student15504",20,"B","IT"
"R15505","Student15505",27,"C","Civil"
"R15506","Student15506",20,"A","Mech"
"R15507","Student15507",20,"C","IT"
"R15508","Student15508",24,"F","Mech"
"R15509","Student15509",25,"A","IT"
"R15510","Student15510",20,"B","Mech"
"R15511","Student15511",24,"A","ECE"
"R15512","Student15512",25,"D","ECE"
"R15513","Student15513",28,"A","CS"
"R15514","Student15514",22,"A","Mech"
"R15515","Student15515",26,"A","IT"
"R15516","Student15516",22,"C","Civil"
"R15517","Student15517",29,"D","IT"
"R15518","Student15518",18,"C","Mech"
"R15519","Student15519",23,"F","ECE"
"R15520","Student15520",30,"D","Civil"
"R15521","Student15521",18,"B","IT"
"R15522","Student15522",25,"D","ECE"
"R15523","Student15523",27,"F","CS"
"R15524","Student15524",19,"A","CS"
"R15525","Student15525",20,"F","IT"
"R15526","Student15526",30,"F","Mech"
"R15527","Student15527",21,"F","ECE"
"R15528","Student15528",20,"B","IT"
"R15529","Student15529",28,"C","Mech"
"R15530","Student15530",25,"D","CS"
"R15531","Student15531",23,"A","ECE"
"R15532","Student15532",19,"B","Mech"
"R15533","Student15533",30,"F","IT"
"R15534","Student15534",18,"D","IT"
"R15535","Student15535",20,"C","Civil"
"R15536","Student15536",28,"A","Civil"
"R15537","Student15537",21,"B","ECE"
"R15538","Student15538",27,"C","CS"
"R15539","Student15539",23,"B","Civil"
"R15540","Student15540",29,"A","IT"
"R15541","Student15541",21,"A","Civil"
"R15542","Student15542",23,"A","IT"
"R15543","Student15543",21,"A","CS"
"R15544","Student15544",19,"F","Mech"
"R15545","Student15545",25,"A","CS"
"R15546","Student15546",26,"D","IT"
"R15547","Student15547",22,"C","CS"
"R15548","Student15548",28,"F","Mech"
"R15549","Student15549",26,"A","CS"
"R15550","Student15550",21,"F","ECE"
"R15551","Student15551",20,"D","CS"
"R15552","Student15552",20,"C","IT"
"R15553","Student15553",26,"B","CS"
"R15554","Student15554",20,"A","IT"
"R15555","Student15555",29,"C","IT"
"R15556","Student15556",23,"A","IT"
"R15557","Student15557",24,"D","Civil"
"R15558","Student15558",27,"D","Mech"
"R15559","Student15559",27,"F","Mech"
"R15560","Student15560",19,"C","CS"
"R15561","Student15561",28,"B","ECE"
"R15562","Student15562",25,"B","Mech"
"R15563","Student15563",25,"C","IT"
"R15564","Student15564",23,"B","Civil"
"R15565","Student15565",21,"F","ECE"
"R15566","Student15566",21,"B","IT"
"R15567","Student15567",29,"B","ECE"
"R15568","Student15568",25,"F","CS"
"R15569","Student15569",29,"D","CS"
"R15570","Student15570",29,"B","Mech"
"R15571","Student15571",28,"F","Civil"
"R15572","Student15572",28,"F","ECE"
"R15573","Student15573",18,"B","CS"
"R15574","Student15574",25,"B","Mech"
"R15575","Student15575",19,"D","Mech"
"R15576","Student15576",30,"C","Civil"
"R15577","Student15577",26,"B","Civil"
"R15578","Student15578",20,"D","ECE"
"R15579","Student15579",18,"B","IT"
"R15580","Student15580",22,"F","Civil"
"R15581","Student15581",27,"D","ECE"
"R15582","Student15582",19,"B","IT"
"R15583","Student15583",24,"D","Mech"
"R15584","Student15584",20,"C","Civil"
"R15585","Student15585",24,"B","CS"
"R15586","Student15586",27,"A","CS"
"R15587","Student15587",27,"B","Civil"
"R15588","Student15588",18,"F","Mech"
"R15589","Student15589",27,"A","Mech"
"R15590","Student15590",27,"B","Mech"
"R15591","Student15591",29,"D","Mech"
"R15592","Student15592",22,"C","Civil"
"R15593","Student15593",18,"A","ECE"
"R15594","Student15594",21,"C","IT"
"R15595","Student15595",19,"A","CS"
"R15596","Student15596",25,"F","ECE"
"R15597","Student15597",26,"F","CS"
"R15598","Student15598",22,"C","Civil"
"R15599","Student15599",26,"B","Mech"
"R15600","Student15600",19,"A","Mech"
"R15601","Student15601",26,"D","ECE"
"R15602","Student15602",23,"B","CS"
"R15603","Student15603",23,"F","Mech"
"R15604","Student15604",26,"B","CS"
"R15605","Student15605",22,"D","CS"
"R15606","Student15606",21,"C","ECE"
"R15607","Student15607",22,"A","ECE"
"R15608","Student15608",29,"F","ECE"
"R15609","Student15609",21,"C","Mech"
"R15610","Student15610",20,"F","Mech"
"R15611","Student15611",24,"A","Mech"
"R15612","Student15612",24,"D","Mech"
"R15613","Student15613",29,"D","CS"
"R15614","Student15614",29,"A","ECE"
"R15615","Student15615",18,"D","CS"
"R15616","Student15616",27,"A","Civil"
"R15617","Student15617",29,"B","Civil"
"R15618","Student15618",28,"C","CS"
"R15619","Student15619",20,"A","IT"
"R15620","Student15620",29,"A","ECE"
"R15621","Student15621",21,"A","Civil"
"R15622","Student15622",30,"C","Mech"
"R15623","Student15623",26,"F","IT"
"R15624","Student15624",19,"C","CS"
"R15625","Student15625",24,"C","Mech"
"R15626","Student15626",24,"B","IT"
"R15627","Student15627",29,"B","IT"
"R15628","Student15628",21,"F","Civil"
"R15629","Student15629",24,"A","CS"
"R15630","Student15630",27,"F","Civil"
"R15631","Student15631",28,"A","Mech"
"R15632","Student15632",26,"A","CS"
"R15633","Student15633",26,"F","CS"
"R15634","Student15634",29,"A","IT"
"R15635","Student15635",19,"B","ECE"
"R15636","Student15636",27,"A","ECE"
"R15637","Student15637",30,"B","Civil"
"R15638","Student15638",21,"C","CS"
"R15639","Student15639",29,"A","IT"
"R15640","Student15640",29,"C","ECE"
"R15641","Student15641",20,"F","ECE"
"R15642","Student15642",22,"A","ECE"
"R15643","Student15643",29,"D","CS"
"R15644","Student15644",26,"C","CS"
"R15645","Student15645",19,"A","Civil"
"R15646","Student15646",29,"F","CS"
"R15647","Student15647",26,"B","IT"
"R15648","Student15648",23,"F","Mech"
"R15649","Student15649",23,"A","Civil"
"R15650","Student15650",27,"B","Civil"
"R15651","Student15651",22,"B","Civil"
"R15652","Student15652",18,"B","IT"
"R15653","Student15653",28,"D","Mech"
"R15654","Student15654",26,"C","Civil"
"R15655","Student15655",20,"A","Mech"
"R15656","Student15656",30,"F","Mech"
"R15657","Student15657",21,"D","IT"
"R15658","Student15658",29,"A","IT"
"R15659","Student15659",24,"B","CS"
"R15660","Student15660",30,"D","Mech"
"R15661","Student15661",26,"C","Civil"
"R15662","Student15662",30,"D","Mech"
"R15663","Student15663",26,"B","Mech"
"R15664","Student15664",26,"C","Civil"
"R15665","Student15665",19,"A","Mech"
"R15666","Student15666",25,"B","Civil"
"R15667","Student15667",25,"F","Civil"
"R15668","Student15668",19,"C","Mech"
"R15669","Student15669",21,"D","CS"
"R15670","Student15670",18,"C","IT"
"R15671","Student15671",23,"D","Mech"
"R15672","Student15672",27,"F","CS"
"R15673","Student15673",25,"A","Mech"
"R15674","Student15674",22,"F","IT"
"R15675","Student15675",23,"C","Civil"
"R15676","Student15676",28,"D","Mech"
"R15677","Student15677",25,"F","IT"
"R15678","Student15678",30,"B","ECE"
"R15679","Student15679",18,"D","ECE"
"R15680","Student15680",27,"C","ECE"
"R15681","Student15681",21,"D","IT"
"R15682","Student15682",18,"D","CS"
"R15683","Student15683",25,"B","Civil"
"R15684","Student15684",28,"B","IT"
"R15685","Student15685",21,"D","Civil"
"R15686","Student15686",27,"A","CS"
"R15687","Student15687",19,"D","Mech"
"R15688","Student15688",26,"F","Civil"
"R15689","Student15689",24,"D","Civil"
"R15690","Student15690",30,"D","ECE"
"R15691","Student15691",28,"F","Civil"
"R15692","Student15692",26,"C","Mech"
"R15693","Student15693",19,"D","CS"
"R15694","Student15694",27,"A","Civil"
"R15695","Student15695",30,"D","CS"
"R15696","Student15696",22,"C","IT"
"R15697","Student15697",21,"A","ECE"
"R15698","Student15698",20,"A","CS"
"R15699","Student15699",19,"D","Mech"
"R15700","Student15700",22,"A","CS"
"R15701","Student15701",25,"A","ECE"
"R15702","Student15702",20,"C","Mech"
"R15703","Student15703",22,"F","IT"
"R15704","Student15704",20,"C","Mech"
"R15705","Student15705",29,"A","ECE"
"R15706","Student15706",29,"F","Civil"
"R15707","Student15707",26,"D","Mech"
"R15708","Student15708",24,"A","Civil"
"R15709","Student15709",25,"C","CS"
"R15710","Student15710",30,"B","IT"
"R15711","Student15711",24,"B","Civil"
"R15712","Student15712",20,"A","Civil"
"R15713","Student15713",24,"B","ECE"
"R15714","Student15714",26,"C","ECE"
"R15715","Student15715",26,"F","ECE"
"R15716","Student15716",29,"F","Mech"
"R15717","Student15717",27,"C","CS"
"R15718","Student15718",27,"B","Civil"
"R15719","Student15719",25,"F","CS"
"R15720","Student15720",18,"C","Civil"
"R15721","Student15721",26,"C","Mech"
"R15722","Student15722",25,"A","ECE"
"R15723","Student15723",23,"D","ECE"
"R15724","Student15724",28,"D","Civil"
"R15725","Student15725",20,"A","Mech"
"R15726","Student15726",30,"A","IT"
"R15727","Student15727",27,"B","IT"
"R15728","Student15728",20,"A","Civil"
"R15729","Student15729",25,"B","ECE"
"R15730","Student15730",19,"B","IT"
"R15731","Student15731",23,"D","ECE"
"R15732","Student15732",22,"D","ECE"
"R15733","Student15733",19,"F","IT"
"R15734","Student15734",27,"B","CS"
"R15735","Student15735",18,"F","Mech"
"R15736","Student15736",18,"B","CS"
"R15737","Student15737",30,"D","Mech"
"R15738","Student15738",19,"A","Mech"
"R15739","Student15739",27,"D","Mech"
"R15740","Student15740",22,"A","Mech"
"R15741","Student15741",27,"A","IT"
"R15742","Student15742",19,"C","ECE"
"R15743","Student15743",26,"C","Civil"
"R15744","Student15744",22,"B","CS"
"R15745","Student15745",30,"B","IT"
"R15746","Student15746",26,"F","IT"
"R15747","Student15747",19,"B","Mech"
"R15748","Student15748",27,"C","Mech"
"R15749","Student15749",25,"F","ECE"
"R15750","Student15750",21,"C","ECE"
"R15751","Student15751",19,"D","Civil"
"R15752","Student15752",21,"C","CS"
"R15753","Student15753",22,"C","Civil"
"R15754","Student15754",22,"C","Civil"
"R15755","Student15755",23,"C","Civil"
"R15756","Student15756",24,"D","CS"
"R15757","Student15757",18,"F","CS"
"R15758","Student15758",27,"C","CS"
"R15759","Student15759",30,"C","ECE"
"R15760","Student15760",19,"C","CS"
"R15761","Student15761",28,"A","CS"
"R15762","Student15762",18,"F","Mech"
"R15763","Student15763",20,"B","IT"
"R15764","Student15764",20,"A","ECE"
"R15765","Student15765",26,"C","ECE"
"R15766","Student15766",28,"B","ECE"
"R15767","Student15767",19,"C","ECE"
"R15768","Student15768",30,"F","CS"
"R15769","Student15769",22,"A","Civil"
"R15770","Student15770",20,"F","Mech"
"R15771","Student15771",24,"F","Civil"
"R15772","Student15772",20,"C","ECE"
"R15773","Student15773",18,"C","Mech"
"R15774","Student15774",23,"F","IT"
"R15775","Student15775",28,"F","ECE"
"R15776","Student15776",22,"A","Civil"
"R15777","Student15777",20,"C","IT"
"R15778","Student15778",26,"F","Mech"
"R15779","Student15779",24,"D","ECE"
"R15780","Student15780",19,"F","Civil"
"R15781","Student15781",20,"C","Civil"
"R15782","Student15782",29,"A","Mech"
"R15783","Student15783",18,"B","ECE"
"R15784","Student15784",29,"B","ECE"
"R15785","Student15785",23,"B","CS"
"R15786","Student15786",25,"D","IT"
"R15787","Student15787",28,"D","Mech"
"R15788","Student15788",20,"F","IT"
"R15789","Student15789",24,"F","CS"
"R15790","Student15790",25,"F","IT"
"R15791","Student15791",29,"D","Mech"
"R15792","Student15792",19,"C","ECE"
"R15793","Student15793",23,"D","IT"
"R15794","Student15794",23,"D","Civil"
"R15795","Student15795",21,"B","IT"
"R15796","Student15796",28,"F","IT"
"R15797","Student15797",25,"B","IT"
"R15798","Student15798",20,"D","IT"
"R15799","Student15799",19,"F","IT"
"R15800","Student15800",23,"A","Mech"
